match_id,label,role,minute,gold,cs,xp,kills,deaths,assists,damage_dealt,cc_score,apm,distance_moved,wards_placed,wards_killed
NA1_5216757774,0,UNKNOWN,1,500,0,0,0,0,0,0,0,2,0,0,0
NA1_5216757774,0,UNKNOWN,2,631,4,325,0,0,0,0,2104,2,1053,0,0
NA1_5216757774,0,UNKNOWN,3,939,12,709,0,0,0,0,7815,1,11930,0,0
NA1_5216757774,0,UNKNOWN,4,1207,12,884,0,0,1,680,23457,2,7536,0,0
NA1_5216757774,0,UNKNOWN,5,1497,17,1115,0,0,2,942,38468,0,5725,0,0
NA1_5216757774,0,UNKNOWN,6,1620,17,1221,0,0,2,1516,62984,1,3578,0,0
NA1_5216757774,0,UNKNOWN,7,1966,25,1682,0,0,2,1516,75610,3,4631,0,0
NA1_5216757774,0,UNKNOWN,8,2273,29,2064,0,0,3,1755,84127,1,1405,0,0
NA1_5216757774,0,UNKNOWN,9,2601,37,2563,0,0,3,1755,102550,1,7823,0,0
NA1_5216757774,0,UNKNOWN,10,2908,45,2980,0,0,3,1755,131647,0,1930,0,0
NA1_5216757774,0,UNKNOWN,11,3232,48,3228,1,0,3,2528,207825,2,8487,0,0
NA1_5216757774,0,UNKNOWN,12,3354,48,3325,1,0,3,2946,220541,1,2293,0,0
NA1_5216757774,0,UNKNOWN,13,3691,56,3912,1,1,3,3715,236217,0,6996,0,0
NA1_5216757774,0,UNKNOWN,14,3924,60,4229,1,1,3,3715,240994,1,7421,0,0
NA1_5216757774,0,UNKNOWN,15,4957,62,4780,3,1,3,4470,250012,4,7958,0,0
NA1_5295981085,0,UNKNOWN,1,500,0,0,0,0,0,0,0,2,0,0,0
NA1_5295981085,0,UNKNOWN,2,562,1,160,0,0,0,0,0,0,2635,0,0
NA1_5295981085,0,UNKNOWN,3,723,1,501,0,0,0,171,7081,1,1555,0,0
NA1_5295981085,0,UNKNOWN,4,953,3,884,0,0,0,584,19974,1,208,0,0
NA1_5295981085,0,UNKNOWN,5,1109,4,1346,0,0,0,584,19974,1,1331,0,0
NA1_5295981085,0,UNKNOWN,6,1269,4,1567,0,0,0,760,23982,0,1809,0,0
NA1_5295981085,0,UNKNOWN,7,1439,6,1734,0,0,0,760,23982,1,1253,0,0
NA1_5295981085,0,UNKNOWN,8,1625,9,2117,0,0,0,931,28457,1,317,0,0
NA1_5295981085,0,UNKNOWN,9,2123,10,2543,1,0,0,1344,34135,2,1607,0,0
NA1_5295981085,0,UNKNOWN,10,2335,13,2825,1,0,0,1579,38529,4,4812,0,0
NA1_5295981085,0,UNKNOWN,11,2658,14,3294,1,0,0,2014,46877,1,5963,0,0
NA1_5295981085,0,UNKNOWN,12,2898,14,3615,1,0,0,2304,50885,0,3839,0,0
NA1_5295981085,0,UNKNOWN,13,3170,18,3991,1,0,0,2304,50885,0,1036,0,0
NA1_5295981085,0,UNKNOWN,14,3342,19,4111,1,1,0,2304,50885,4,643,0,0
NA1_5295981085,0,UNKNOWN,15,3495,19,4155,1,1,0,2304,50885,1,1484,0,0
NA1_5309870452,0,UNKNOWN,1,500,0,0,0,0,0,0,0,6,0,0,0
NA1_5309870452,0,UNKNOWN,2,597,3,140,0,0,0,39,0,1,4238,0,0
NA1_5309870452,0,UNKNOWN,3,853,11,557,0,0,0,501,0,1,1881,0,0
NA1_5309870452,0,UNKNOWN,4,1164,19,1000,0,0,0,672,0,1,434,0,0
NA1_5309870452,0,UNKNOWN,5,1479,28,1508,0,0,0,783,0,1,1177,0,0
NA1_5309870452,0,UNKNOWN,6,1891,36,1966,0,0,1,1266,0,1,2052,0,0
NA1_5309870452,0,UNKNOWN,7,2215,45,2507,0,0,1,1397,0,1,3155,0,0
NA1_5309870452,0,UNKNOWN,8,2380,47,2629,0,1,1,1625,0,2,5282,0,0
NA1_5309870452,0,UNKNOWN,9,2670,57,3029,0,1,1,1625,0,0,6708,0,0
NA1_5309870452,0,UNKNOWN,10,2976,64,3452,0,1,1,2742,1135,1,1493,0,0
NA1_5309870452,0,UNKNOWN,11,3098,64,3476,0,2,1,3042,2314,3,5820,0,0
NA1_5309870452,0,UNKNOWN,12,3297,69,4078,0,2,1,3647,2314,1,3241,0,0
NA1_5309870452,0,UNKNOWN,13,3496,69,4186,0,3,2,4155,3558,1,2370,0,0
NA1_5309870452,0,UNKNOWN,14,4086,74,4672,1,4,2,4900,6234,1,4441,0,0
NA1_5309870452,0,UNKNOWN,15,4258,74,4871,1,4,2,5335,6234,1,626,0,0
NA1_5316650063,0,UNKNOWN,1,500,0,0,0,0,0,0,0,2,0,0,0
NA1_5316650063,0,UNKNOWN,2,631,4,325,0,0,0,0,4141,1,5568,0,0
NA1_5316650063,0,UNKNOWN,3,1014,16,835,0,0,0,0,27824,1,7076,0,0
NA1_5316650063,0,UNKNOWN,4,1335,24,1236,0,0,0,168,51738,1,7598,0,0
NA1_5316650063,0,UNKNOWN,5,1858,28,1399,1,0,0,913,70450,2,10409,0,0
NA1_5316650063,0,UNKNOWN,6,2825,36,1974,3,0,0,1505,83978,3,5594,0,0
NA1_5316650063,0,UNKNOWN,7,3132,44,2414,3,0,0,1677,104786,1,7853,0,0
NA1_5316650063,0,UNKNOWN,8,3364,48,2627,3,0,0,1677,110889,1,12918,0,0
NA1_5316650063,0,UNKNOWN,9,3697,56,3112,3,0,0,1677,114163,0,10911,0,0
NA1_5316650063,0,UNKNOWN,10,3981,62,3561,3,0,0,1677,130218,1,4941,0,0
NA1_5316650063,0,UNKNOWN,11,4363,74,4198,3,0,0,1795,185610,1,9373,0,0
NA1_5316650063,0,UNKNOWN,12,4676,76,4351,3,1,1,2549,190929,3,11706,0,0
NA1_5316650063,0,UNKNOWN,13,5020,85,4781,3,1,1,2549,205129,0,3578,0,0
NA1_5316650063,0,UNKNOWN,14,5446,97,5465,3,1,1,2549,218557,1,6726,0,0
NA1_5316650063,0,UNKNOWN,15,5759,105,6028,3,1,1,2549,224537,4,9408,0,0
NA1_5316686576,0,UNKNOWN,1,500,0,0,0,0,0,0,0,1,0,0,0
NA1_5316686576,0,UNKNOWN,2,631,4,325,0,0,0,0,2237,2,6284,0,0
NA1_5316686576,0,UNKNOWN,3,849,8,482,0,0,0,132,16499,0,6855,0,0
NA1_5316686576,0,UNKNOWN,4,1190,16,882,0,0,0,132,38944,1,3048,0,0
NA1_5316686576,0,UNKNOWN,5,1475,24,1253,0,0,0,132,71779,1,8037,0,0
NA1_5316686576,0,UNKNOWN,6,1678,28,1509,0,0,0,132,100860,2,6442,0,0
NA1_5316686576,0,UNKNOWN,7,2415,32,1890,1,0,1,716,103164,2,4860,0,0
NA1_5316686576,0,UNKNOWN,8,2653,36,2095,1,1,1,716,116157,2,9407,0,0
NA1_5316686576,0,UNKNOWN,9,3065,48,2886,1,1,1,716,132490,1,7087,0,0
NA1_5316686576,0,UNKNOWN,10,3609,51,3235,2,1,1,1151,137417,2,1955,0,0
NA1_5316686576,0,UNKNOWN,11,3866,56,3435,2,1,1,1151,147738,3,7240,0,0
NA1_5316686576,0,UNKNOWN,12,4103,61,3695,2,2,1,1424,148789,1,8544,0,0
NA1_5316686576,0,UNKNOWN,13,4450,69,4275,2,2,1,1424,168429,1,12060,0,0
NA1_5316686576,0,UNKNOWN,14,5219,70,4891,4,2,1,3450,173105,4,8987,0,0
NA1_5316686576,0,UNKNOWN,15,5636,82,5649,4,2,1,3450,198138,1,4293,0,0
NA1_5342889963,0,UNKNOWN,1,500,0,0,0,0,0,0,0,4,0,0,0
NA1_5342889963,0,UNKNOWN,2,631,4,325,0,0,0,0,2338,1,1118,0,0
NA1_5342889963,0,UNKNOWN,3,939,12,685,0,0,0,0,29660,1,5366,0,0
NA1_5342889963,0,UNKNOWN,4,1307,24,1115,0,0,0,0,44866,0,3898,0,0
NA1_5342889963,0,UNKNOWN,5,1538,28,1340,0,0,0,0,69421,3,8514,0,0
NA1_5342889963,0,UNKNOWN,6,1905,38,1837,0,0,0,0,113261,1,5051,0,0
NA1_5342889963,0,UNKNOWN,7,2156,40,2007,0,0,2,897,119340,0,2824,0,0
NA1_5342889963,0,UNKNOWN,8,2519,52,2622,0,0,2,897,131966,2,10417,0,0
NA1_5342889963,0,UNKNOWN,9,2941,52,2812,1,0,2,1406,136242,1,8351,0,0
